2024/07/11 13:29:10 logfile.go:22: Start Logging
2024/07/11 13:29:38 logfile.go:22: Start Logging
2024/07/11 13:29:39 main.go:46: 0 0
2024/07/11 13:41:43 logfile.go:22: Start Logging
2024/07/11 13:41:44 main.go:46: abc.com Malicious 0 Totals 92
2024/07/11 13:42:41 logfile.go:22: Start Logging
2024/07/11 13:42:42 main.go:46: abc.com .Malicious 0 .Totals 92
2024/07/11 16:02:23 logfile.go:22: Start Logging
2024/07/11 16:25:12 logfile.go:22: Start Logging
2024/07/11 16:25:54 logfile.go:22: Start Logging
2024/07/11 16:25:55 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:25:56 virustotal.go:38: a.com .Malicious 0 .Totals 92
2024/07/11 16:25:56 virustotal.go:38: facebook.com .Malicious 0 .Totals 92
2024/07/11 16:25:56 virustotal.go:38: google.com .Malicious 0 .Totals 92
2024/07/11 16:27:54 logfile.go:22: Start Logging
2024/07/11 16:27:55 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:55 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:56 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:56 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:57 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:57 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:57 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:58 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:58 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:59 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:59 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:27:59 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:01 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:01 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:02 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:02 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:02 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:03 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:03 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:04 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:04 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:04 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:05 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:05 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:05 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:06 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:06 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:07 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:07 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:07 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:08 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:08 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:09 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:09 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:09 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:10 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:10 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:11 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:11 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:11 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:12 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:12 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:12 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:13 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:13 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:13 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:14 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:15 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:15 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:15 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:16 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:16 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:17 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:17 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:17 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:18 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:18 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:19 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:19 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:19 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:20 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:20 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:20 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:21 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:21 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:21 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:22 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:22 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:23 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:23 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:23 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:24 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:24 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:25 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:25 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:25 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:26 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:26 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:26 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:27 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:27 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:27 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:28 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:28 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:29 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:29 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:29 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:30 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:30 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:30 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:31 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:31 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:32 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:32 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:33 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:33 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:34 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:34 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:34 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:35 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:35 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:36 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:36 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:37 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:37 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:37 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:38 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:38 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:39 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:39 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:39 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:40 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:40 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:40 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:41 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:41 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:41 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:42 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:42 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:42 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:43 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:43 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:44 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:44 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:44 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:45 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:45 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:45 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:46 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:46 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:47 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:47 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:47 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:48 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:49 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:49 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:49 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:50 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:50 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:51 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:51 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:52 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:52 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:52 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:53 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:53 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:53 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:54 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:54 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:54 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:55 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:55 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:56 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:56 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:56 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:57 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:57 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:57 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:58 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:58 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:58 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:59 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:59 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:28:59 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:00 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:00 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:01 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:01 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:01 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:02 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:02 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:03 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:03 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:03 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:04 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:04 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:05 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:05 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:05 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:06 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:06 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:07 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:07 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:07 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:08 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:08 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:08 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:09 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:09 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:10 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:10 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:10 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:11 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:11 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:12 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:12 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:12 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:13 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:13 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:14 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:14 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:14 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:15 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:15 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:16 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:16 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:16 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:17 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:17 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:17 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:18 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:18 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:18 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:19 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:19 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:20 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:20 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:20 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:21 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:22 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:22 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:23 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:23 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:23 virustotal.go:38: abc.com .Malicious 0 .Totals 92
2024/07/11 16:29:24 virustotal.go:38: abc.com .Malicious 0 .Totals 92
